id,hip,hd,hr,gl,bf,proper,ra,dec,dist,pmra,pmdec,rv,mag,absmag,spect,ci,x,y,z,vx,vy,vz,rarad,decrad,pmrarad,pmdecrad,bayer,flam,con,comp,comp_primary,base,lum,var,var_min,var_max
48837,48977,86516,,,,,9.991147,21.321501,101.1122,-42.85,21.02,6.6,6.74,1.716,Am,0.205,-81.462953,47.284751,36.764501,0.00000835,0.00001944,0.00001205,2.6156761922517062,0.3721303916935563,-0.0000002077426621,0.000000101907835,,,Leo,1,48837,,17.930813770804406,,,
48842,48982,86513,3942,,,,9.993395,29.645233,105.1525,-94.44,-37.84,-1.0,5.75,0.641,G9III:,1.059,-79.065626,45.831095,52.011381,0.00001666,0.00004599,-0.00001727,2.6162647307421505,0.51740691478191,-0.0000004578580399,-0.000000183453496,,,Leo,1,48842,,48.261409326852096,,,
48850,48990,86611,3945,,12    Sex,,9.995301,3.384792,59.8444,-58.82,18.07,-4.0,6.69,2.805,F0V,0.288,-51.699545,29.933606,3.533295,0.00001235,0.00001257,0.00000499,2.6167637047851895,0.05907575755103,-0.0000002851674069,0.000000087605832,,12,Sex,1,48850,,6.576578373554202,,,
48865,49005,86378,3939,,,,9.997695,56.811807,153.3742,-31.49,-28.04,-13.0,5.5,-0.429,K5III,1.487,-72.682254,42.02173,128.355264,0.00000291,0.00002536,-0.00002254,2.617390392156505,0.991553091509635,-0.000000152667828,-0.000000135941756,,,UMa,1,48865,,129.30043917962797,,,
48889,49029,86663,3950,,29Pi  Leo,,10.003557,8.044223,124.533,-30.06,-22.11,23.0,4.68,-0.796,M2III,1.589,-106.845097,61.554441,17.426851,-0.00001274,0.00002828,-0.00000992,2.6189252098188165,0.14039817806733998,-0.0000001457349924,-0.000000107192304,Pi,29,Leo,1,48889,,181.30091670170208,,,
48912,49052,87030,3953,,,,10.009597,-56.946108,145.1379,-53.08,23.35,10.0,6.5,0.691,K0III,0.979,-68.655698,39.408884,-121.648555,0.00000181,0.00004202,0.00000039,2.6205064812828605,-0.9938970864650525,-0.0000002573391016,0.000000113203994,,,Vel,1,48912,,46.089288098089526,,,
48925,49065,87971,3983,,Mu 1Cha,,10.012191,-82.21467,115.0748,-26.99,31.11,16.0,5.53,0.225,A0IV,0.035,-13.524589,7.751107,-114.014246,-0.00000936,0.00002272,-0.00001386,2.6211855560518917,-1.43491668427656,-0.0000001308512124,0.000000150825536,Mu-1,,Cha,1,48925,,70.79457843841381,,,
48936,49076,87026,,,,,10.016275,-50.477708,100000.0,-8.18,4.17,5.0,6.91,-13.09,B5V,-0.148,-55247.054396,31583.816502,-77137.704948,0.0006115,0.0042181,0.00128249,2.622254757994608,-0.8810022071036124,-0.0000000396577591,0.00000002021673,,,Vel,1,48936,,14996848.35502371,,,
48941,49081,86728,3951,Gl 376,20    LMi,,10.016864,31.923672,15.0466,-529.22,-428.93,55.8,5.37,4.483,G1V,0.676,-11.088308,6.336788,7.956742,-0.00003727,0.00006576,0.00000362,2.622408944854098,0.55717318527595,-0.0000025657309602,-0.00000207951132,,20,LMi,1,48941,,1.4021678337057588,,,
48952,49092,87122,,,,,10.02,-56.096559,222.7171,-27.45,1.0,14.0,6.42,-0.319,B8,-0.013,-107.910503,61.55121,-184.850573,0.00000697,0.00003014,-0.00001128,2.623229771538141,-0.97906965557881,-0.0000001330813553,0.000000004848136,,,Vel,1,48952,,116.84227381673325,,,
48963,49103,86778,,,,,10.021758,28.784411,221.7295,0.37,7.23,-3.3,6.93,0.201,K2III,1.275,-168.847258,96.20581,106.766116,0.00000562,-0.00000366,0.00000519,2.6236901006958426,0.5023827417052538,0.0000000017938106,0.000000035052029,,,LMi,1,48963,,72.37690370745293,,,
48997,49137,87152,3955,,,,10.027977,-53.364115,377.3585,-16.56,0.47,6.0,6.2,-1.684,B2.5V,-0.137,-195.831169,111.158898,-302.809067,0.00001117,0.00002849,-0.00000441,2.625318125504977,-0.93137950206204,-0.0000000802851455,0.000000002278624,,,Vel,1,48997,,410.7712125533876,,,
49001,49141,87019,,,,,10.028974,-23.806868,161.8123,-34.78,-1.19,0.0,6.8,0.755,K0III,1.004,-128.767549,73.047344,-65.316338,0.00001379,0.00002354,-0.00000085,2.6255791275907665,-0.4155082284812175,-0.0000001686181981,-0.000000005769282,,,Hya,1,49001,,43.45102241715714,,,
49020,49160,87238,3957,,,,10.032797,-57.349789,221.2389,-38.39,22.82,7.0,6.2,-0.524,K1II,1.108,-103.877646,58.790604,-186.278765,-0.00000102,0.00004788,0.00000718,2.6265800144502456,-1.0009426429482913,-0.000000186119972,0.000000110634481,,,Car,1,49020,,141.12371484118506,,,
49023,49163,86322,,,,,10.033167,74.759089,166.3894,-50.43,-37.36,6.4,6.91,0.804,K1III,1.043,-38.068427,21.540566,160.53738,-0.00000677,0.00005057,-0.00000161,2.626677039699033,1.3047922481440788,-0.0000002444915391,-0.000000181126391,,,Dra,1,49023,,41.53364054890737,,,
49024,49164,87283,3960,,,,10.033361,-60.42089,100000.0,-7.42,3.9,-2.0,5.93,-14.07,A9IV,0.263,-42963.086939,24306.948326,-86967.496343,0.00034105,0.00393983,0.00093503,2.626727842234718,-1.0545434695573361,-0.0000000359731751,0.000000018907733,,,Car,1,49024,,36982817.97802674,,,
49062,49202,87096,,,,,10.042551,-13.296514,67.8887,-136.28,18.01,16.0,6.98,2.821,F6IV,0.529,-57.581817,32.395043,-15.613791,0.00000692,0.00004757,0.000002,2.629133819839266,-0.23206795399424876,-0.0000006607040839,0.000000087314943,,,Hya,1,49062,,6.480372941922909,,,
49069,49209,87130,,,,,10.043623,-20.424015,111.2347,24.3,-23.34,0.0,6.82,1.589,A3III,0.181,-90.865585,51.086634,-38.817003,-0.00000259,-0.00001357,-0.00001179,2.6294143038350883,-0.35646631511073873,0.0000001178097244,-0.000000113155513,,,Hya,1,49069,,20.155798128251917,,,
49080,49220,87015,3952,,,,10.046931,21.949258,289.0173,-13.75,-5.28,3.0,5.68,-1.625,B2.5IV,-0.178,-233.782912,131.171609,108.030433,0.00000453,0.00001955,-0.00000571,2.6302803347085404,0.3830868170160825,-0.0000000666618811,-0.000000025598162,,,Leo,1,49080,,389.04514499428046,,,
49081,49221,87095,,,,,10.047011,-1.067843,110.3753,12.3,-87.66,0.0,6.7,1.486,K0,1.064,-96.243062,53.997673,-2.056986,-0.00000246,-0.00000617,-0.0000469,2.6303013817807237,-0.01863736764213,0.0000000596320827,-0.000000424987672,,,Sex,1,49081,,22.161543259597206,,,
49082,49222,87199,3956,,,,10.047028,-30.577523,187.9699,-18.2,25.9,14.0,6.54,0.17,K1III,1.189,-141.135523,79.184025,-95.621049,-0.00001311,0.00002637,0.00001304,2.6303058099342134,-0.5336784542909988,-0.0000000882360899,0.000000125566743,,,Ant,1,49082,,74.47319739059888,,,
49083,49223,87438,3967,,,,10.04706,-62.156667,100000.0,-8.77,3.89,-8.0,6.41,-13.59,K3Ib,1.688,-40732.823803,22852.695416,-88422.798886,0.00062932,0.00452177,0.00088799,2.6303142869661023,-1.0848384849815451,-0.0000000425181598,0.000000018859252,,,Car,1,49083,,23768402.866248734,,,
49093,49233,87436,3966,,,,10.049985,-60.178675,100000.0,-6.89,4.6,-4.0,6.18,-13.82,A6II/III,0.175,-43388.853846,24299.166954,-86758.041934,-0.00005416,0.00385853,0.0011125,2.6310799097179527,-1.0503160098624962,-0.0000000334036626,0.000000022301429,,,Car,1,49093,,29376496.519615367,,,
49113,49253,86942,,,,,10.053804,50.109229,250.0,-20.32,-8.17,0.0,6.9,-0.09,K2,1.465,-139.96652,78.202091,191.817116,0.00000538,0.0000252,-0.00000635,2.632079778001276,0.8745710324188263,-0.0000000985141399,-0.000000039609277,,,UMa,1,49113,,94.6237161365793,,,
49119,49259,87363,3964,,,,10.055719,-46.636191,90.009,-28.39,-10.77,3.0,6.11,1.339,A0V,0.041,-53.967794,30.117402,-65.43733,0.00000718,0.00001018,-0.00000546,2.632581056662216,-0.8139550868762888,-0.0000001376386039,-0.000000052214433,,,Vel,1,49119,,25.374646458649643,,,
49124,49264,87303,,,,,10.056541,-33.238287,311.5265,-25.69,-1.34,0.0,6.62,-0.847,K2III,1.254,-227.55541,126.925804,-170.754607,0.00001987,0.00003334,-0.00000169,2.632796333199448,-0.5801175428444013,-0.0000001245486345,-0.000000006496503,,,Ant,1,49124,,190.02030025772322,,,
49141,49281,87543,3971,,,,10.05948,-61.88404,502.5126,-17.73,4.23,5.0,6.14,-2.366,B4:Vne,-0.032,-206.904763,115.198815,-443.213955,0.00001096,0.00004333,0.00000035,2.6335657898721765,-1.0800802475583424,-0.0000000859574656,0.000000020507618,,,Car,1,49141,,769.8391619294356,,,
49153,49293,87262,3959,,,,10.061385,-9.573792,354.6099,-6.32,-9.17,9.0,6.09,-1.659,K0,1.671,-305.594498,169.946598,-58.977921,-0.00000036,0.00001263,-0.00001707,2.6340644728980345,-0.1670941880023725,-0.0000000306402246,-0.000000044457414,,,Sex,1,49153,,401.4209182043213,,,
49155,49294,87318,3962,,,,10.061561,-25.316721,192.6782,-18.1,5.65,12.0,6.71,0.286,A0V,0.02,-152.222175,84.644332,-82.393424,-0.00000345,0.00002126,-0.00000048,2.6341105001763334,-0.441860144320245,-0.0000000877512762,0.000000027391972,,,Hya,1,49155,,66.92679069358428,,,
49168,49308,87127,,,,,10.064864,38.020436,41.8936,-100.9,-124.42,30.7,6.75,3.639,F5,0.533,-28.858043,16.014131,25.804218,-0.00002529,0.00003747,-0.00000057,2.634975122701218,0.6635817979546662,-0.0000004891770037,-0.000000603205181,,,LMi,1,49168,,3.0507034978225147,,,
49181,49321,87344,3963,,,,10.067448,-18.101406,156.0062,-27.28,3.65,19.0,6.3,0.334,B8V,-0.06,-129.707959,71.863629,-48.471141,-0.00000691,0.00002741,-0.00000341,2.6356517067497442,-0.31592913416263374,-0.0000001322571721,0.000000017695699,,,Hya,1,49181,,64.0324324468947,,6.341,6.101
49186,49326,88351,3997,,Mu 2Cha,,10.068706,-81.565492,159.7444,-50.13,52.97,0.0,6.6,0.583,G6/G8III,0.919,-20.499239,11.348945,-158.016632,-0.0000167,0.00005362,0.00000602,2.635980963425392,-1.4235863929491974,-0.0000002430370981,0.000000256805806,Mu-2,,Cha,1,49186,,50.90963695230937,,,
49189,49329,87301,3961,,13    Sex,,10.069009,3.201055,56.0224,-73.63,-93.76,0.0,6.43,2.688,F4V,0.398,-48.938465,27.087816,3.128285,0.00000844,0.00001818,-0.00002542,2.6360603935272615,0.0558689445885725,-0.000000356968313,-0.000000454561306,,13,Sex,1,49189,,7.324871326650399,,,
49198,49338,87540,,,,,10.072419,-48.44573,154.5595,-53.0,40.08,0.0,6.83,0.885,K0III,1.015,-89.744056,49.569534,-115.661164,-0.00000047,0.00004563,0.00001992,2.6369532296765565,-0.8455374927584238,-0.0000002569512507,0.000000194313323,,,Vel,1,49198,,38.54783576657719,,,
49199,49339,87427,3965,,,,10.072486,-24.285534,70.1754,-117.3,25.29,4.0,5.7,1.469,F0V,0.303,-55.992571,30.92581,-28.862051,0.00001293,0.00003844,0.00000616,2.6369705689935863,-0.42386253716793376,-0.0000005686864473,0.000000122609379,,,Hya,1,49199,,22.511270159128795,,,
49202,49343,87477,3968,,,,10.073158,-39.975858,165.8375,-37.32,0.51,47.0,6.42,0.322,K1III,1.311,-111.254798,61.422668,-106.545022,-0.00001798,0.0000442,-0.00003057,2.637146693840926,-0.6977103433651963,-0.0000001809324656,0.000000002472549,,,Ant,1,49202,,64.7440704568815,,,
49211,49351,87580,,,,,10.074404,-51.798384,204.918,-20.72,4.48,0.0,6.99,0.432,A0V + B/A,0.098,-110.962604,61.21416,-161.032649,0.00000688,0.00001971,0.00000275,2.637472739032797,-0.904052347953045,-0.0000001004533946,0.000000021719652,,,Vel,1,49211,,58.50594519500058,,,
